Date,dayl_s,prcp_mm_day,srad_W_m2,swe_cm,tmax_C,tmin_C,vp_Pa,tmean_C,gage_id
1980-01-01,32913.8,0.0,130.39,0.35600000000000004,-7.96,-14.36,201.13,-11.16,09299500
1980-01-02,32956.22,0.0,242.74,0.35600000000000004,-5.63,-19.17,134.21,-12.4,09299500
1980-01-03,33002.11,0.0,292.72,0.35600000000000004,-4.37,-24.05,87.33,-14.21,09299500
1980-01-04,33051.44,0.0,279.8,0.35600000000000004,2.0,-15.63,180.97,-6.815,09299500
1980-01-05,33104.16,0.0,298.55,0.35600000000000004,3.96,-16.36,170.24,-6.199999999999999,09299500
1980-01-06,33160.24,0.0,147.69,0.35600000000000004,-4.71,-11.87,246.31,-8.29,09299500
1980-01-07,33219.65,0.0,237.16,0.35600000000000004,-4.01,-16.56,167.46,-10.285,09299500
1980-01-08,33282.33,5.93,180.37,0.9490000000000001,2.25,-10.71,270.24,-4.23,09299500
1980-01-09,33348.25,19.77,120.97,2.926,0.19,-7.53,346.91,-3.67,09299500
1980-01-10,33417.36,24.54,197.0,5.38,-0.01,-13.79,210.75,-6.8999999999999995,09299500
1980-01-11,33489.61,0.0,334.56,5.38,-3.68,-26.98,66.87,-15.33,09299500
1980-01-12,33564.96,14.87,259.0,6.867000000000001,4.82,-23.15,94.67,-9.165,09299500
1980-01-13,33643.35,24.59,161.57,6.792000000000001,6.08,-4.2,447.44,0.94,09299500
1980-01-14,33724.73,10.63,104.5,6.640000000000001,3.88,-2.39,512.55,0.7449999999999999,09299500
1980-01-15,33809.06,6.24,206.86,7.264,6.41,-7.7,342.5,-0.645,09299500
1980-01-16,33896.27,0.0,300.26,7.264,-0.45,-15.98,175.74,-8.215,09299500
1980-01-17,33986.31,6.09,172.82,7.873000000000001,-4.88,-15.31,185.89,-10.095,09299500
1980-01-18,34079.13,10.07,174.51,8.88,-6.98,-17.31,157.22,-12.145,09299500
1980-01-19,34174.68,0.0,182.24,8.88,-11.66,-19.29,132.73,-15.475,09299500
1980-01-20,34272.88,10.99,199.61,9.979000000000001,-3.85,-15.82,178.21,-9.835,09299500
1980-01-21,34373.7,0.0,320.99,9.979000000000001,-1.74,-17.46,155.21,-9.6,09299500
1980-01-22,34477.06,0.0,307.42,9.979000000000001,-6.39,-20.68,117.7,-13.535,09299500
1980-01-23,34582.92,0.0,384.3,9.979000000000001,0.71,-25.13,79.2,-12.209999999999999,09299500
1980-01-24,34691.2,0.0,384.05,9.979000000000001,1.07,-23.83,89.12,-11.379999999999999,09299500
1980-01-25,34801.87,4.9,287.18,10.469000000000001,0.99,-22.66,98.89,-10.835,09299500
1980-01-26,34914.85,0.0,232.21,10.469000000000001,-7.57,-16.87,163.17,-12.22,09299500
1980-01-27,35030.08,9.96,205.08,11.465000000000002,-6.93,-18.22,145.54,-12.575,09299500
1980-01-28,35147.52,8.4,119.26,12.305,-9.55,-15.51,182.88,-12.530000000000001,09299500
1980-01-29,35267.09,16.16,209.76,13.92,-6.23,-17.37,156.43,-11.8,09299500
1980-01-30,35388.75,0.0,369.6,13.92,-4.22,-21.01,114.33,-12.615,09299500
1980-01-31,35512.43,0.0,340.98,13.92,-9.7,-24.13,86.73,-16.915,09299500
1980-02-01,35638.08,5.54,297.14,14.474000000000002,-0.52,-20.63,118.23,-10.575,09299500
1980-02-02,35765.64,0.0,362.46,14.474000000000002,2.1,-13.82,210.1,-5.86,09299500
1980-02-03,35895.05,0.0,323.71,14.474000000000002,3.32,-9.66,293.71,-3.17,09299500
1980-02-04,36026.26,0.0,334.46,14.474000000000002,3.69,-9.47,298.15,-2.8900000000000006,09299500
1980-02-05,36159.21,0.0,357.4,14.474000000000002,1.18,-13.35,218.39,-6.085,09299500
1980-02-06,36293.85,0.0,338.98,14.474000000000002,-0.11,-13.32,218.95,-6.715,09299500
1980-02-07,36430.12,0.0,147.72,14.474000000000002,-3.79,-8.72,316.15,-6.255000000000001,09299500
1980-02-08,36567.97,0.0,438.84,14.474000000000002,-4.03,-25.28,78.17,-14.655000000000001,09299500
1980-02-09,36707.35,0.0,411.52,14.474000000000002,-4.16,-21.95,105.3,-13.055,09299500
1980-02-10,36848.2,0.0,431.91,14.474000000000002,-2.46,-21.96,105.27,-12.21,09299500
1980-02-11,36990.48,0.0,413.5,14.474000000000002,-0.97,-17.94,149.02,-9.455,09299500
1980-02-12,37134.14,0.0,436.52,14.474000000000002,0.84,-18.15,146.33,-8.655,09299500
1980-02-13,37279.12,0.0,426.25,14.474000000000002,1.87,-16.29,171.36,-7.209999999999999,09299500
1980-02-14,37425.37,13.46,247.32,15.82,3.31,-8.59,319.54,-2.6399999999999997,09299500
1980-02-15,37572.85,6.61,207.09,15.734000000000002,5.49,-3.96,455.84,0.7650000000000001,09299500
1980-02-16,37721.52,9.17,273.44,16.651,5.96,-7.22,355.31,-0.6299999999999999,09299500
1980-02-17,37871.32,6.75,271.81,17.326,4.79,-8.06,332.92,-1.6350000000000002,09299500
1980-02-18,38022.21,21.35,113.32,17.155,2.78,-1.92,530.56,0.42999999999999994,09299500
1980-02-19,38174.15,8.61,262.43,17.151,6.08,-5.91,393.01,0.08499999999999996,09299500
1980-02-20,38327.09,4.48,123.95,16.94,4.04,-0.97,569.06,1.5350000000000001,09299500
1980-02-21,38481.0,0.0,447.14,16.94,1.49,-14.74,194.82,-6.625,09299500
1980-02-22,38635.82,0.0,288.88,16.94,-0.81,-9.32,301.78,-5.065,09299500
1980-02-23,38791.52,3.57,210.76,17.297,-6.94,-14.75,194.64,-10.845,09299500
1980-02-24,38948.06,4.55,392.32,17.751,-1.62,-22.84,97.33,-12.23,09299500
1980-02-25,39105.41,0.0,541.13,17.751,-0.24,-23.67,90.35,-11.955,09299500
1980-02-26,39263.51,3.31,402.16,18.083000000000002,6.24,-17.68,152.36,-5.72,09299500
1980-02-27,39422.34,0.0,479.08,18.083000000000002,8.31,-8.54,320.62,-0.11499999999999932,09299500
1980-02-28,39581.86,0.0,431.25,18.083000000000002,7.79,-6.2,384.32,0.7949999999999999,09299500
1980-02-29,39742.04,0.0,150.3,18.008000000000003,-0.26,-4.24,446.33,-2.25,09299500
1980-03-01,39902.83,0.0,208.34,18.004,-0.38,-5.9,393.46,-3.14,09299500
1980-03-02,40064.2,0.0,394.51,18.004,4.96,-6.13,386.45,-0.585,09299500
1980-03-03,40226.13,13.21,89.89,17.943,-1.84,-4.55,435.82,-3.195,09299500
1980-03-04,40388.57,0.0,55.97,17.818,-3.02,-3.02,488.95,-3.02,09299500
1980-03-05,40551.49,13.93,337.34,19.212000000000003,-0.68,-12.67,230.78,-6.675,09299500
1980-03-06,40714.87,9.35,140.52,19.205000000000002,-1.65,-5.84,395.13,-3.745,09299500
1980-03-07,40878.67,0.0,364.75,19.205000000000002,1.06,-7.44,349.31,-3.1900000000000004,09299500
1980-03-08,41042.87,0.0,525.88,19.205000000000002,-4.76,-19.2,133.83,-11.98,09299500
1980-03-09,41207.42,0.0,462.27,19.205000000000002,-4.0,-15.16,188.19,-9.58,09299500
1980-03-10,41372.31,0.0,597.9,19.205000000000002,0.51,-18.57,141.23,-9.03,09299500
1980-03-11,41537.49,8.58,420.61,20.063000000000002,-0.02,-15.7,179.98,-7.859999999999999,09299500
1980-03-12,41702.95,6.18,206.25,20.681,-4.7,-10.35,277.97,-7.525,09299500
1980-03-13,41868.66,0.0,497.15,20.681,-2.19,-13.36,218.16,-7.7749999999999995,09299500
1980-03-14,42034.58,0.0,609.29,20.681,5.14,-12.1,241.67,-3.48,09299500
1980-03-15,42200.7,0.0,104.64,20.590000000000003,-2.21,-3.82,460.51,-3.0149999999999997,09299500
