M-D,M,D,2009_SWE_in,2010_SWE_in,2011_SWE_in,2012_SWE_in,2013_SWE_in,2014_SWE_in,2015_SWE_in,2016_SWE_in,2017_SWE_in,2018_SWE_in,2019_SWE_in,2020_SWE_in,2021_SWE_in,2022_SWE_in,2023_SWE_in,2024_SWE_in,2025_SWE_in,2026_SWE_in,min,Q10,Q25,mean,median,Q75,Q90,max,date
10-01,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-01
10-02,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0001388889638888889,0.0,0.0,0.0,0.00250000135,2023-10-02
10-03,10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0007055559365555556,0.0,0.0,0.0007500004050000018,0.010200005508000001,2023-10-03
10-04,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0004222224502222222,0.0,0.0,0.0007500004050000018,0.005100002754000001,2023-10-04
10-05,10,5,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0005611114141111111,0.0,0.0,0.0007500004050000018,0.007600004103999999,2023-10-05
10-06,10,6,0.0,0.0,0.0,0.020300010961999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0012666673506666665,0.0,0.0,0.0007500004050000018,0.020300010961999997,2023-10-06
10-07,10,7,0.0,0.0,0.0,0.022900012366000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0014111118731111112,0.0,0.0,0.0007500004050000018,0.022900012366000002,2023-10-07
10-08,10,8,0.0,0.0,0.0,0.022900012366000002,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.001550000837,0.0,0.0,0.00250000135,0.022900012366000002,2023-10-08
10-09,10,9,0.0,0.0,0.0,0.017800009611999998,0.0,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0016944453594444444,0.0,0.0,0.005850003159000002,0.017800009611999998,2023-10-09
10-10,10,10,0.0,0.0,0.0,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0014111118731111112,0.0,0.0,0.005850003159000002,0.012700006858,2023-10-10
10-11,10,11,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0014166674316666667,0.0,0.0,0.006630003580200005,0.010200005508000001,2023-10-11
10-12,10,12,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0011277783867777778,0.0,0.0,0.005850003159000002,0.007600004103999999,2023-10-12
10-13,10,13,0.0,0.0,0.0,0.007600004103999999,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0014055563145555555,0.0,0.0018750010125,0.005850003159000002,0.007600004103999999,2023-10-13
10-14,10,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.0011277783867777778,0.0,0.0,0.005850003159000002,0.007600004103999999,2023-10-14
