M-D,M,D,2011_SWE_in,2012_SWE_in,2013_SWE_in,2014_SWE_in,2015_SWE_in,2016_SWE_in,2017_SWE_in,2018_SWE_in,2019_SWE_in,2020_SWE_in,2021_SWE_in,2022_SWE_in,2023_SWE_in,2024_SWE_in,2025_SWE_in,2026_SWE_in,min,Q10,Q25,mean,median,Q75,Q90,max,date
10-01,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-01
10-02,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.000156250084375,0.0,0.0,0.0,0.00250000135,2023-10-02
10-03,10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.00031875017212500004,0.0,0.0,0.0,0.005100002754000001,2023-10-03
10-04,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.00031875017212500004,0.0,0.0,0.0,0.005100002754000001,2023-10-04
10-05,10,5,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0009562505163750001,0.0,0.0,0.0025500013770000003,0.010200005508000001,2023-10-05
10-06,10,6,0.017800009611999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0012687506851249998,0.0,0.0,0.001250000675,0.017800009611999998,2023-10-06
10-07,10,7,0.017800009611999998,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0014250007694999998,0.0,0.0,0.00250000135,0.017800009611999998,2023-10-07
10-08,10,8,0.017800009611999998,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.001906251029375,0.0,0.0,0.006350003429,0.017800009611999998,2023-10-08
10-09,10,9,0.017800009611999998,0.015200008207999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.002381251285875,0.0,0.0,0.010150005481,0.017800009611999998,2023-10-09
10-10,10,10,0.022900012366000002,0.007600004103999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.002381251285875,0.0,0.0,0.007600004103999999,0.022900012366000002,2023-10-10
10-11,10,11,0.025400013716,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.002700001458,0.0,0.0,0.008900004806,0.025400013716,2023-10-11
10-12,10,12,0.020300010961999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.0017437509416249998,0.0,0.0,0.0038000020519999996,0.020300010961999997,2023-10-12
10-13,10,13,0.022900012366000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.00158750085725,0.0,0.0,0.001250000675,0.022900012366000002,2023-10-13
10-14,10,14,0.015200008207999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.001268750685125,0.0,0.0,0.0025500013770000003,0.015200008207999998,2023-10-14
10-15,10,15,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0009562505163750001,0.0,0.0,0.0025500013770000003,0.010200005508000001,2023-10-15
10-16,10,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.00047500025649999995,0.0,0.0,0.0,0.007600004103999999,2023-10-16
10-17,10,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025400013716,0.0,0.0,0.0,0.00158750085725,0.0,0.0,0.0,0.025400013716,2023-10-17
10-18,10,18,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022900012366000002,0.0,0.0,0.0,0.0017500009450000002,0.0,0.0,0.0025500013770000003,0.022900012366000002,2023-10-18
10-19,10,19,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017800009611999998,0.0,0.0,0.0,0.0017437509416249998,0.0,0.0,0.005050002727,0.017800009611999998,2023-10-19
10-20,10,20,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.00158750085725,0.0,0.0006250003375,0.006350003429,0.010200005508000001,2023-10-20
10-21,10,21,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.001268750685125,0.0,0.0006250003375,0.003800002052,0.010200005508000001,2023-10-21
10-22,10,22,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.001268750685125,0.0,0.0,0.003800002052,0.012700006858,2023-10-22
10-23,10,23,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012700006858,0.0,0.0,0.012700006858,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.002381251285875,0.0,0.0012750006885000002,0.010150005481,0.012700006858,2023-10-23
10-24,10,24,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015200008207999998,0.0,0.0,0.017800009611999998,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.0028562515423749997,0.0,0.0012750006885000002,0.011400006155999998,0.017800009611999998,2023-10-24
