M-D,M,D,2012_SWE_in,2013_SWE_in,2014_SWE_in,2015_SWE_in,2016_SWE_in,2017_SWE_in,2018_SWE_in,2019_SWE_in,2020_SWE_in,2021_SWE_in,2022_SWE_in,2023_SWE_in,2024_SWE_in,2025_SWE_in,2026_SWE_in,min,Q10,Q25,mean,median,Q75,Q90,max,date
10-01,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-01
10-02,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034000018360000003,0.0,0.0,0.0,0.005100002754000001,2023-10-02
10-03,10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034000018360000003,0.0,0.0,0.0,0.005100002754000001,2023-10-03
10-04,10,4,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003333335133333333,0.0,0.0,0.001500000809999999,0.00250000135,2023-10-04
10-05,10,5,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016666675666666665,0.0,0.0,0.0,0.00250000135,2023-10-05
10-06,10,6,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034000018360000003,0.0,0.0,0.0,0.005100002754000001,2023-10-06
10-07,10,7,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034000018360000003,0.0,0.0,0.0,0.005100002754000001,2023-10-07
10-08,10,8,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.00250000135,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00050000027,0.0,0.0,0.00250000135,0.00250000135,2023-10-08
10-09,10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005066669402666666,0.0,0.0,0.001500000809999999,0.005100002754000001,2023-10-09
10-10,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005066669402666666,0.0,0.0,0.001500000809999999,0.005100002754000001,2023-10-10
10-11,10,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008466671238666668,0.0,0.0,0.0,0.012700006858,2023-10-11
10-12,10,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.00250000135,0.0,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.0016933342477333335,0.0,0.0,0.007120003844799998,0.012700006858,2023-10-12
10-13,10,13,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.010200005508000001,0.0,0.015200008207999998,0.0,0.0,0.0,0.0,0.0,0.0030533349821333334,0.0,0.005100002754000001,0.010200005508000001,0.015200008207999998,2023-10-13
10-14,10,14,0.0,0.005100002754000001,0.015200008207999998,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.010200005508000001,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.0033933351657333337,0.0,0.007650004131000001,0.010200005508000001,0.015200008207999998,2023-10-14
10-15,10,15,0.0,0.0,0.022900012366000002,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028866682254666673,0.0,0.0,0.010200005508000001,0.022900012366000002,2023-10-15
10-16,10,16,0.0,0.0,0.017800009611999998,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022066678582666668,0.0,0.0,0.008160004406399999,0.017800009611999998,2023-10-16
10-17,10,17,0.0,0.0,0.017800009611999998,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.020300010961999997,0.0,0.0,0.0,0.0035600019223999994,0.0,0.0025500013770000003,0.014760007970399997,0.020300010961999997,2023-10-17
10-18,10,18,0.0,0.0,0.017800009611999998,0.0,0.0,0.007600004103999999,0.0,0.010200005508000001,0.0,0.0,0.005100002754000001,0.0,0.0,0.020300010961999997,0.017800009611999998,0.0,0.0,0.0,0.005253336170133333,0.0,0.008900004806,0.017800009611999998,0.020300010961999997,2023-10-18
10-19,10,19,0.0,0.0,0.015200008207999998,0.0,0.0,0.010200005508000001,0.0,0.007600004103999999,0.0,0.0,0.012700006858,0.0,0.0,0.027900015065999997,0.007600004103999999,0.0,0.0,0.0,0.005413336256533332,0.0,0.008900004806,0.014200007667999998,0.027900015065999997,2023-10-19
10-20,10,20,0.0,0.0,0.015200008207999998,0.0,0.0,0.010200005508000001,0.0,0.007600004103999999,0.012700006858,0.0,0.015200008207999998,0.0,0.0,0.027900015065999997,0.012700006858,0.0,0.0,0.0,0.006766670320666667,0.0,0.012700006858,0.015200008207999998,0.027900015065999997,2023-10-20
10-21,10,21,0.0,0.0,0.015200008207999998,0.0,0.0,0.005100002754000001,0.0,0.007600004103999999,0.015200008207999998,0.0,0.015200008207999998,0.0,0.0,0.027900015065999997,0.0,0.0,0.0,0.0,0.005746669769866666,0.0,0.011400006155999998,0.015200008207999998,0.027900015065999997,2023-10-21
10-22,10,22,0.0,0.0,0.015200008207999998,0.0,0.0,0.00250000135,0.0,0.007600004103999999,0.03050001647,0.0,0.010200005508000001,0.0,0.0,0.027900015065999997,0.0,0.0,0.0,0.0,0.0062600033804,0.0,0.008900004806,0.022820012322799992,0.03050001647,2023-10-22
10-23,10,23,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.007600004103999999,0.03050001647,0.0,0.005100002754000001,0.015200008207999998,0.0,0.022900012366000002,0.0,0.0,0.0,0.0,0.006100003294,0.0,0.008900004806,0.019820010702799998,0.03050001647,2023-10-23
10-24,10,24,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.005100002754000001,0.03050001647,0.0,0.005100002754000001,0.017800009611999998,0.0,0.015200008207999998,0.0,0.0,0.0,0.0,0.005253336170133333,0.0,0.005100002754000001,0.016760009050399996,0.03050001647,2023-10-24
10-25,10,25,0.0,0.00250000135,0.00250000135,0.0,0.0,0.0,0.0,0.005100002754000001,0.03050001647,0.00250000135,0.005100002754000001,0.017800009611999998,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.004906669316266667,0.00250000135,0.005100002754000001,0.013720007408799995,0.03050001647,2023-10-25
10-26,10,26,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.03050001647,0.010200005508000001,0.015200008207999998,0.017800009611999998,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.005933336537333333,0.0,0.007650004131000001,0.016760009050399996,0.03050001647,2023-10-26
10-27,10,27,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.03050001647,0.010200005508000001,0.025400013716,0.027900015065999997,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.007113337174533334,0.0,0.007650004131000001,0.026900014525999997,0.03050001647,2023-10-27
10-28,10,28,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.035600019223999996,0.010200005508000001,0.022900012366000002,0.025400013716,0.010200005508000001,0.0,0.005100002754000001,0.0,0.0,0.0,0.007973337638933336,0.005100002754000001,0.010200005508000001,0.024400013176,0.035600019223999996,2023-10-28
10-29,10,29,0.0,0.005100002754000001,0.015200008207999998,0.0,0.0,0.0,0.0,0.005100002754000001,0.040600021923999995,0.010200005508000001,0.017800009611999998,0.025400013716,0.010200005508000001,0.0,0.010200005508000001,0.0,0.0,0.0,0.009320005032799998,0.005100002754000001,0.012700006858,0.0223600120744,0.040600021923999995,2023-10-29
10-30,10,30,0.0,0.005100002754000001,0.015200008207999998,0.0,0.0,0.0,0.0,0.00250000135,0.048300026082,0.010200005508000001,0.015200008207999998,0.025400013716,0.007600004103999999,0.022900012366000002,0.007600004103999999,0.0,0.0,0.0,0.010666672426666666,0.007600004103999999,0.015200008207999998,0.024400013176,0.048300026082,2023-10-30
10-31,10,31,0.0,0.005100002754000001,0.022900012366000002,0.0,0.0,0.0,0.0,0.00250000135,0.048300026082,0.010200005508000001,0.015200008207999998,0.025400013716,0.005100002754000001,0.025400013716,0.005100002754000001,0.0,0.0,0.0,0.011013339280533333,0.005100002754000001,0.019050010287,0.025400013716,0.048300026082,2023-10-31
11-01,11,1,0.0,0.00250000135,0.022900012366000002,0.0,0.0,0.005100002754000001,0.0,0.010200005508000001,0.048300026082,0.010200005508000001,0.015200008207999998,0.025400013716,0.00250000135,0.025400013716,0.010200005508000001,0.0,0.0,0.001250000675,0.011860006404399999,0.010200005508000001,0.019050010287,0.025400013716,0.048300026082,2023-11-01
11-02,11,2,0.0,0.0,0.020300010961999997,0.005100002754000001,0.0,0.005100002754000001,0.0,0.015200008207999998,0.048300026082,0.010200005508000001,0.015200008207999998,0.025400013716,0.0,0.022900012366000002,0.007600004103999999,0.0,0.0,0.0,0.011686672977466667,0.007600004103999999,0.017750009584999997,0.024400013176,0.048300026082,2023-11-02
11-03,11,3,0.0,0.0,0.020300010961999997,0.005100002754000001,0.0,0.0,0.0,0.017800009611999998,0.048300026082,0.010200005508000001,0.025400013716,0.048300026082,0.0,0.022900012366000002,0.0,0.0,0.0,0.0,0.0132200071388,0.005100002754000001,0.021600011664,0.039140021135599994,0.048300026082,2023-11-03
11-04,11,4,0.0,0.0,0.025400013716,0.005100002754000001,0.0,0.0,0.0,0.017800009611999998,0.048300026082,0.010200005508000001,0.025400013716,0.050800027432,0.0,0.025400013716,0.0,0.0,0.0,0.0,0.013893340835733336,0.005100002754000001,0.025400013716,0.039140021135599994,0.050800027432,2023-11-04
11-05,11,5,0.0,0.0,0.025400013716,0.005100002754000001,0.005100002754000001,0.0,0.005100002754000001,0.022900012366000002,0.048300026082,0.010200005508000001,0.025400013716,0.050800027432,0.0,0.025400013716,0.010200005508000001,0.0,0.0,0.0025500013770000003,0.015593341753733336,0.010200005508000001,0.025400013716,0.039140021135599994,0.050800027432,2023-11-05
11-06,11,6,0.0,0.0,0.025400013716,0.005100002754000001,0.007600004103999999,0.0,0.010200005508000001,0.022900012366000002,0.053300028782,0.010200005508000001,0.022900012366000002,0.068600037044,0.0,0.03300001782,0.010200005508000001,0.0,0.0,0.0025500013770000003,0.0179600096984,0.010200005508000001,0.024150013041,0.045180024397199994,0.068600037044,2023-11-06
11-07,11,7,0.0,0.0,0.03050001647,0.005100002754000001,0.010200005508000001,0.0,0.017800009611999998,0.022900012366000002,0.053300028782,0.010200005508000001,0.022900012366000002,0.073700039798,0.0,0.03300001782,0.010200005508000001,0.0,0.0,0.0025500013770000003,0.0193200104328,0.010200005508000001,0.026700014418,0.045180024397199994,0.073700039798,2023-11-07
11-08,11,8,0.0,0.0,0.03050001647,0.005100002754000001,0.010200005508000001,0.0,0.017800009611999998,0.022900012366000002,0.053300028782,0.027900015065999997,0.022900012366000002,0.073700039798,0.00250000135,0.03300001782,0.010200005508000001,0.0,0.0,0.003800002052,0.020666677826666664,0.017800009611999998,0.029200015768,0.045180024397199994,0.073700039798,2023-11-08
