M-D,M,D,1980_SWE_in,1981_SWE_in,1982_SWE_in,1983_SWE_in,1984_SWE_in,1985_SWE_in,1986_SWE_in,1987_SWE_in,1988_SWE_in,1989_SWE_in,1990_SWE_in,1991_SWE_in,1992_SWE_in,1993_SWE_in,1994_SWE_in,1995_SWE_in,1996_SWE_in,1997_SWE_in,1998_SWE_in,1999_SWE_in,2000_SWE_in,2001_SWE_in,2002_SWE_in,2003_SWE_in,2004_SWE_in,2005_SWE_in,2006_SWE_in,2007_SWE_in,2008_SWE_in,2009_SWE_in,2010_SWE_in,2011_SWE_in,2012_SWE_in,2013_SWE_in,2014_SWE_in,2015_SWE_in,2016_SWE_in,2017_SWE_in,2018_SWE_in,2019_SWE_in,2020_SWE_in,2021_SWE_in,2022_SWE_in,2023_SWE_in,2024_SWE_in,2025_SWE_in,2026_SWE_in,min,Q10,Q25,mean,median,Q75,Q90,max,date
10-01,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06600003564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020300010961999997,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023212778492340425,0.0,0.0,0.0035400019115999965,0.06600003564,2023-10-01
10-02,10,2,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.076200041148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.0,0.0,0.035600019223999996,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025400013716,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.005100002754000001,0.0,0.0,0.0,0.0035680870331489356,0.0,0.0,0.006100003293999997,0.076200041148,2023-10-02
10-03,10,3,0.0,0.0,0.00250000135,0.005100002754000001,0.0,0.0,0.0,0.086400046656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.015200008207999998,0.0,0.0,0.0,0.0,0.0,0.0,0.038100020574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025400013716,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.005100002754000001,0.0,0.0,0.0,0.00400000216,0.0,0.0,0.005100002754000001,0.086400046656,2023-10-03
10-04,10,4,0.0,0.0,0.005100002754000001,0.012700006858,0.0,0.0,0.0,0.086400046656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03050001647,0.015200008207999998,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.038100020574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012700006858,0.025400013716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.005136172986297872,0.0,0.0,0.013700007397999996,0.086400046656,2023-10-04
10-05,10,5,0.0,0.0,0.005100002754000001,0.015200008207999998,0.0,0.0,0.0,0.086400046656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038100020574,0.017800009611999998,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.03300001782,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.012700006858,0.0,0.012700006858,0.0,0.0,0.0,0.0,0.012700006858,0.020300010961999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.005727662667404255,0.0,0.003800002052,0.016240008769599995,0.086400046656,2023-10-05
10-06,10,6,0.0,0.0,0.00250000135,0.015200008207999998,0.0,0.0,0.0,0.08380004525200001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045700024677999995,0.017800009611999998,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.035600019223999996,0.0,0.0,0.0,0.0,0.027900015065999997,0.005100002754000001,0.015200008207999998,0.0,0.053300028782,0.0,0.0,0.0,0.0,0.015200008207999998,0.020300010961999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020300010961999997,0.0,0.0,0.0,0.007668089247148938,0.0,0.003800002052,0.023340012603599986,0.08380004525200001,2023-10-06
10-07,10,7,0.0,0.0,0.0,0.022900012366000002,0.0,0.0,0.0,0.08380004525200001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048300026082,0.050800027432,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.035600019223999996,0.0,0.0,0.0,0.020300010961999997,0.027900015065999997,0.00250000135,0.015200008207999998,0.005100002754000001,0.073700039798,0.0,0.0,0.0,0.0,0.010200005508000001,0.015200008207999998,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.012700006858,0.0,0.0,0.0,0.009131919824851063,0.0,0.007650004131000001,0.030980016729199984,0.08380004525200001,2023-10-07
10-08,10,8,0.0,0.0,0.020300010961999997,0.038100020574,0.0,0.0,0.010200005508000001,0.08380004525200001,0.0,0.0,0.0,0.022900012366000002,0.0,0.0,0.0,0.048300026082,0.053300028782,0.0,0.012700006858,0.0,0.0,0.0,0.0,0.035600019223999996,0.0,0.0,0.0,0.015200008207999998,0.027900015065999997,0.0,0.015200008207999998,0.010200005508000001,0.08130004390199999,0.0,0.0,0.0,0.0,0.005100002754000001,0.007600004103999999,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.010538303563021276,0.0,0.011450006183000001,0.03660001976399999,0.08380004525200001,2023-10-08
10-09,10,9,0.0,0.0,0.043200023328,0.038100020574,0.0,0.0,0.012700006858,0.08380004525200001,0.0,0.0,0.0,0.025400013716,0.0,0.0,0.007600004103999999,0.048300026082,0.027900015065999997,0.0,0.012700006858,0.0,0.0,0.0,0.0,0.035600019223999996,0.0,0.0,0.0,0.012700006858,0.022900012366000002,0.0,0.015200008207999998,0.010200005508000001,0.08130004390199999,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.005100002754000001,0.0,0.0,0.017800009611999998,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.010919154832510635,0.0,0.012700006858,0.03660001976399999,0.08380004525200001,2023-10-09
10-10,10,10,0.0,0.0,0.043200023328,0.038100020574,0.0,0.0,0.015200008207999998,0.08380004525200001,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.010200005508000001,0.048300026082,0.017800009611999998,0.0,0.015200008207999998,0.0,0.0,0.0,0.005100002754000001,0.022900012366000002,0.0,0.0,0.0,0.027900015065999997,0.017800009611999998,0.0,0.015200008207999998,0.012700006858,0.08130004390199999,0.0,0.0,0.0,0.0,0.0,0.0,0.015200008207999998,0.0,0.0,0.017800009611999998,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.010646814259914893,0.0,0.015200008207999998,0.03198001726919998,0.08380004525200001,2023-10-10
