M-D,M,D,1981_SWE_in,1982_SWE_in,1983_SWE_in,1984_SWE_in,1985_SWE_in,1986_SWE_in,1987_SWE_in,1988_SWE_in,1989_SWE_in,1990_SWE_in,1991_SWE_in,1992_SWE_in,1993_SWE_in,1994_SWE_in,1995_SWE_in,1996_SWE_in,1997_SWE_in,1998_SWE_in,1999_SWE_in,2000_SWE_in,2001_SWE_in,2002_SWE_in,2003_SWE_in,2004_SWE_in,2005_SWE_in,2006_SWE_in,2007_SWE_in,2008_SWE_in,2009_SWE_in,2010_SWE_in,2011_SWE_in,2012_SWE_in,2013_SWE_in,2014_SWE_in,2015_SWE_in,2016_SWE_in,2017_SWE_in,2018_SWE_in,2019_SWE_in,2020_SWE_in,2021_SWE_in,2022_SWE_in,2023_SWE_in,2024_SWE_in,2025_SWE_in,2026_SWE_in,min,Q10,Q25,mean,median,Q75,Q90,max,date
10-01,10,1,0.0,0.0,0.045700024677999995,0.0,0.0,0.005100002754000001,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015456530085652175,0.0,0.0,0.001250000675,0.045700024677999995,2023-10-01
10-02,10,2,0.0,0.0,0.043200023328,0.0,0.0,0.005100002754000001,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03050001647,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018217401141739128,0.0,0.0,0.001250000675,0.043200023328,2023-10-02
10-03,10,3,0.0,0.010200005508000001,0.040600021923999995,0.0,0.0,0.005100002754000001,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027900015065999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018760879696086957,0.0,0.0,0.001250000675,0.040600021923999995,2023-10-03
10-04,10,4,0.0,0.015200008207999998,0.038100020574,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.010200005508000001,0.0,0.0,0.015200008207999998,0.0,0.0,0.0,0.025400013716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025391318059130434,0.0,0.0,0.010200005508000001,0.038100020574,2023-10-04
10-05,10,5,0.0,0.015200008207999998,0.038100020574,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.020300010961999997,0.0,0.0,0.022900012366000002,0.0,0.0,0.0,0.020300010961999997,0.0,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029239146223913044,0.0,0.0,0.011400006155999998,0.038100020574,2023-10-05
10-06,10,6,0.0,0.015200008207999998,0.038100020574,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.020300010961999997,0.0,0.0,0.020300010961999997,0.0,0.0,0.0,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026478275167826086,0.0,0.0,0.010150005481,0.038100020574,2023-10-06
10-07,10,7,0.0,0.015200008207999998,0.038100020574,0.0,0.0,0.007600004103999999,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.020300010961999997,0.0,0.0,0.017800009611999998,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.007600004103999999,0.0,0.005100002754000001,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002813044997304348,0.0,0.0,0.007600004103999999,0.038100020574,2023-10-07
10-08,10,8,0.0,0.015200008207999998,0.038100020574,0.0,0.0,0.017800009611999998,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.012700006858,0.0,0.007600004103999999,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.005100002754000001,0.0,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002758697141869565,0.0,0.0,0.010150005481,0.038100020574,2023-10-08
10-09,10,9,0.0,0.015200008207999998,0.038100020574,0.0,0.0,0.017800009611999998,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.022900012366000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025413057201304347,0.0,0.0,0.007650004131000001,0.038100020574,2023-10-09
10-10,10,10,0.0,0.022900012366000002,0.038100020574,0.0,0.0,0.017800009611999998,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.017800009611999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025978274897826086,0.0,0.0,0.007650004131000001,0.038100020574,2023-10-10
