Date,gage_id,dayl_s,prcp_mm_day,srad_W_m2,tmax_C,tmin_C,vp_Pa,tmean_C,site_no,flow_cms
1980-01-01,09289500,32913.8,0.0,197.41,-2.62,-12.35,236.96,-7.484999999999999,9289500,0.5097024
1980-01-02,09289500,32956.22,0.0,258.58,-3.1,-16.65,166.22,-9.875,9289500,0.5097024
1980-01-03,09289500,33002.11,0.0,326.4,-0.15,-21.28,111.72,-10.715,9289500,0.5097024
1980-01-04,09289500,33051.44,0.0,237.97,1.35,-10.75,269.41,-4.7,9289500,0.5097024
1980-01-05,09289500,33104.16,3.78,233.51,6.42,-13.15,222.03,-3.365,9289500,0.5097024
1980-01-06,09289500,33160.24,2.45,186.35,-2.57,-15.34,185.36,-8.955,9289500,0.5380192
1980-01-07,09289500,33219.65,8.92,178.89,-5.08,-16.95,162.06,-11.015,9289500,0.5380192
1980-01-08,09289500,33282.33,5.9,151.41,-3.29,-12.91,226.43,-8.1,9289500,0.566336
1980-01-09,09289500,33348.25,18.01,136.24,-1.59,-9.99,286.16,-5.79,9289500,0.5946528
1980-01-10,09289500,33417.36,20.81,249.67,-3.17,-22.23,102.78,-12.7,9289500,0.566336
1980-01-11,09289500,33489.61,11.13,264.63,-2.88,-24.45,84.3,-13.665,9289500,0.5380192
1980-01-12,09289500,33564.96,20.15,168.27,0.48,-9.57,295.74,-4.545,9289500,0.566336
1980-01-13,09289500,33643.35,23.02,124.08,2.69,-4.52,436.79,-0.9149999999999998,9289500,0.5946528
1980-01-14,09289500,33724.73,13.81,82.19,-0.39,-4.95,422.75,-2.67,9289500,0.5946528
1980-01-15,09289500,33809.06,0.0,341.92,4.67,-12.81,228.28,-4.07,9289500,0.5946528
1980-01-16,09289500,33896.27,1.1,367.27,1.12,-18.58,141.08,-8.729999999999999,9289500,0.5946528
1980-01-17,09289500,33986.31,6.44,241.73,-1.2,-16.67,165.94,-8.935,9289500,0.5946528
1980-01-18,09289500,34079.13,0.0,355.09,-0.53,-18.06,147.5,-9.295,9289500,0.5946528
1980-01-19,09289500,34174.68,0.0,330.87,-7.21,-22.31,102.03,-14.76,9289500,0.5946528
1980-01-20,09289500,34272.88,9.07,258.39,-0.38,-16.98,161.67,-8.68,9289500,0.566336
1980-01-21,09289500,34373.7,0.0,332.49,-0.44,-15.26,186.7,-7.85,9289500,0.5946528
1980-01-22,09289500,34477.06,0.0,397.91,-3.03,-23.93,88.33,-13.48,9289500,0.5946528
1980-01-23,09289500,34582.92,0.0,404.18,0.58,-21.02,114.25,-10.22,9289500,0.5946528
1980-01-24,09289500,34691.2,8.3,277.78,1.49,-16.37,170.08,-7.44,9289500,0.5946528
1980-01-25,09289500,34801.87,0.0,356.41,-3.14,-18.72,139.39,-10.93,9289500,0.5946528
1980-01-26,09289500,34914.85,0.0,303.6,-7.43,-19.54,129.91,-13.485,9289500,0.5946528
1980-01-27,09289500,35030.08,10.92,283.01,-3.0,-20.18,122.95,-11.59,9289500,0.6229696
1980-01-28,09289500,35147.52,12.81,222.2,-4.84,-16.38,170.07,-10.61,9289500,0.566336
1980-01-29,09289500,35267.09,15.09,208.62,-4.21,-14.66,196.21,-9.435,9289500,0.566336
1980-01-30,09289500,35388.75,0.0,420.29,-2.01,-20.91,115.41,-11.46,9289500,0.5380192
1980-01-31,09289500,35512.43,5.02,311.14,-3.57,-22.53,100.04,-13.05,9289500,0.4530688
1980-02-01,09289500,35638.08,0.0,432.05,1.85,-18.01,148.17,-8.08,9289500,0.5097024
1980-02-02,09289500,35765.64,0.0,395.3,3.12,-13.18,221.53,-5.029999999999999,9289500,0.5380192
1980-02-03,09289500,35895.05,0.0,355.66,5.13,-8.67,317.56,-1.77,9289500,0.566336
1980-02-04,09289500,36026.26,0.0,401.37,4.92,-11.31,257.63,-3.1950000000000003,9289500,0.566336
1980-02-05,09289500,36159.21,0.0,424.96,4.45,-13.44,216.72,-4.494999999999999,9289500,0.5946528
1980-02-06,09289500,36293.85,0.0,364.55,2.25,-11.49,253.88,-4.62,9289500,0.566336
1980-02-07,09289500,36430.12,0.0,260.82,-3.72,-12.7,230.32,-8.209999999999999,9289500,0.5380192
1980-02-08,09289500,36567.97,0.0,448.52,-7.11,-26.11,72.44,-16.61,9289500,0.5380192
1980-02-09,09289500,36707.35,0.0,462.79,-1.93,-22.02,104.67,-11.975,9289500,0.5380192
1980-02-10,09289500,36848.2,0.0,468.95,-0.33,-20.67,117.77,-10.5,9289500,0.5380192
1980-02-11,09289500,36990.48,0.0,451.86,1.05,-17.69,152.23,-8.32,9289500,0.5380192
1980-02-12,09289500,37134.14,0.0,465.46,2.34,-17.65,152.73,-7.654999999999999,9289500,0.5380192
1980-02-13,09289500,37279.12,0.0,430.99,4.65,-12.86,227.24,-4.105,9289500,0.5380192
1980-02-14,09289500,37425.37,11.09,266.82,4.91,-8.32,326.28,-1.705,9289500,0.5380192
1980-02-15,09289500,37572.85,14.63,280.69,4.49,-9.15,305.63,-2.33,9289500,0.566336
1980-02-16,09289500,37721.52,14.38,335.97,5.91,-11.55,252.76,-2.8200000000000003,9289500,0.566336
1980-02-17,09289500,37871.32,10.21,365.13,5.87,-14.06,206.09,-4.095000000000001,9289500,0.566336
1980-02-18,09289500,38022.21,25.33,169.6,0.68,-6.42,377.87,-2.87,9289500,0.566336
1980-02-19,09289500,38174.15,4.56,224.89,1.67,-7.72,341.75,-3.025,9289500,0.5946528
1980-02-20,09289500,38327.09,5.9,164.36,-1.26,-7.75,341.04,-4.505,9289500,0.6229696
1980-02-21,09289500,38481.0,8.93,349.9,-0.61,-16.13,173.59,-8.37,9289500,0.6229696
1980-02-22,09289500,38635.82,5.12,231.86,-1.9,-10.75,269.35,-6.325,9289500,0.5946528
1980-02-23,09289500,38791.52,0.0,353.56,-4.7,-14.56,197.76,-9.63,9289500,0.5946528
1980-02-24,09289500,38948.06,0.0,582.24,0.22,-21.76,107.08,-10.77,9289500,0.5946528
1980-02-25,09289500,39105.41,0.0,609.27,6.36,-20.26,122.13,-6.950000000000001,9289500,0.566336
1980-02-26,09289500,39263.51,0.0,584.16,7.87,-14.66,196.08,-3.395,9289500,0.566336
1980-02-27,09289500,39422.34,0.0,558.54,12.16,-8.17,330.17,1.995,9289500,0.566336
1980-02-28,09289500,39581.86,0.0,535.3,7.45,-10.84,267.43,-1.6949999999999998,9289500,0.566336
1980-02-29,09289500,39742.04,0.0,313.52,-2.27,-10.99,264.18,-6.63,9289500,0.566336
1980-03-01,09289500,39902.83,1.38,537.08,-0.87,-18.07,147.37,-9.47,9289500,0.566336
1980-03-02,09289500,40064.2,6.09,401.61,2.14,-15.25,186.86,-6.555,9289500,0.566336
1980-03-03,09289500,40226.13,6.94,249.38,0.6,-8.42,323.65,-3.91,9289500,0.566336
1980-03-04,09289500,40388.57,7.52,151.98,-3.2,-8.34,325.67,-5.77,9289500,0.5946528
1980-03-05,09289500,40551.49,7.82,435.94,3.45,-15.79,178.6,-6.17,9289500,0.5946528
1980-03-06,09289500,40714.87,6.41,290.78,-1.66,-11.81,247.5,-6.735,9289500,0.5946528
1980-03-07,09289500,40878.67,0.0,501.51,-1.61,-15.34,185.39,-8.475,9289500,0.5946528
1980-03-08,09289500,41042.87,0.0,534.91,-3.34,-18.44,142.79,-10.89,9289500,0.5946528
1980-03-09,09289500,41207.42,0.0,567.3,-4.17,-20.48,119.76,-12.325,9289500,0.5946528
1980-03-10,09289500,41372.31,0.0,625.53,2.08,-17.8,150.8,-7.86,9289500,0.5946528
1980-03-11,09289500,41537.49,12.45,454.85,3.07,-15.87,177.41,-6.4,9289500,0.566336
1980-03-12,09289500,41702.95,0.0,373.04,-4.99,-13.93,208.34,-9.46,9289500,0.566336
1980-03-13,09289500,41868.66,0.0,676.26,2.11,-21.08,113.72,-9.485,9289500,0.566336
1980-03-14,09289500,42034.58,0.0,538.54,4.24,-9.91,287.97,-2.835,9289500,0.566336
1980-03-15,09289500,42200.7,3.53,385.79,1.36,-11.92,245.35,-5.28,9289500,0.5380192
1980-03-16,09289500,42366.97,2.94,432.77,-6.91,-22.46,100.64,-14.685,9289500,0.5380192
1980-03-17,09289500,42533.38,0.0,713.73,1.9,-24.82,81.52,-11.46,9289500,0.566336
1980-03-18,09289500,42699.89,0.0,673.89,3.28,-17.93,149.12,-7.325,9289500,0.566336
1980-03-19,09289500,42866.49,0.0,642.19,-0.73,-19.59,129.35,-10.16,9289500,0.566336
1980-03-20,09289500,43033.14,0.0,682.58,2.14,-19.96,125.35,-8.91,9289500,0.566336
