Date,gage_id,SWE_cm_mean,dayl_s,prcp_mm_day,srad_W_m2,tmax_C,tmin_C,vp_Pa,tmean_C,site_no,flow_cms
1980-01-01,10011500,13.719999999999999,32870.05,0.0,162.57,0.22,-7.22,355.51,-3.5,10011500,0.7645535999999999
1980-01-02,10011500,13.719999999999999,32912.67,0.0,201.19,-1.32,-11.08,262.44,-6.2,10011500,0.7645535999999999
1980-01-03,10011500,13.719999999999999,32958.77,0.0,271.35,0.16,-17.42,155.7,-8.63,10011500,0.8211872
1980-01-04,10011500,13.719999999999999,33008.32,0.0,170.77,3.01,-4.83,426.56,-0.91,10011500,0.7928704
1980-01-05,10011500,13.719999999999999,33061.29,5.39,193.52,6.02,-8.07,332.8,-1.0250000000000004,10011500,0.7928704
1980-01-06,10011500,14.729999999999999,33117.64,4.93,184.48,-1.17,-13.52,215.36,-7.345,10011500,0.7928704
1980-01-07,10011500,15.24,33177.32,5.93,167.17,-6.54,-16.82,163.88,-11.68,10011500,0.8211872
1980-01-08,10011500,16.0,33240.29,7.46,130.4,-4.18,-11.54,252.9,-7.859999999999999,10011500,0.8211872
1980-01-09,10011500,16.0,33306.52,15.2,126.1,-0.91,-7.88,337.7,-4.395,10011500,0.8211872
1980-01-10,10011500,18.54,33375.94,17.72,230.95,-2.41,-20.8,116.48,-11.605,10011500,0.849504
1980-01-11,10011500,20.32,33448.53,12.58,237.33,-3.48,-22.64,99.04,-13.06,10011500,0.7928704
1980-01-12,10011500,22.35,33524.22,13.82,182.65,2.84,-7.82,339.14,-2.49,10011500,0.9061376
1980-01-13,10011500,23.880000000000003,33602.97,21.19,82.05,2.5,-1.61,542.99,0.4449999999999999,10011500,0.9344544
1980-01-14,10011500,28.7,33684.73,18.5,82.71,0.52,-3.56,469.6,-1.52,10011500,1.0477216
1980-01-15,10011500,30.23,33769.44,0.0,275.0,3.48,-9.83,289.89,-3.175,10011500,0.991088
