Date,gage_id,SWE_cm_mean,dayl_s,prcp_mm_day,srad_W_m2,tmax_C,tmin_C,vp_Pa,tmean_C,site_no,flow_cms
1980-01-01,10154200,13.209999999999999,32957.38,0.0,175.94,1.3,-7.4,350.59,-3.0500000000000003,10154200.0,1.3025728
1980-01-02,10154200,13.209999999999999,32999.6,0.0,224.11,0.88,-11.73,248.97,-5.425,10154200.0,1.3025728
1980-01-03,10154200,13.209999999999999,33045.28,0.0,248.86,1.18,-14.67,195.96,-6.745,10154200.0,1.274256
1980-01-04,10154200,13.719999999999999,33094.38,0.0,228.81,4.46,-8.6,319.2,-2.07,10154200.0,1.274256
1980-01-05,10154200,14.48,33146.85,0.56,250.84,7.37,-8.84,313.32,-0.7349999999999999,10154200.0,1.274256
1980-01-06,10154200,16.0,33202.68,0.0,215.86,1.29,-10.14,282.66,-4.425000000000001,10154200.0,1.274256
1980-01-07,10154200,16.0,33261.81,0.0,199.27,-1.97,-11.88,246.03,-6.925000000000001,10154200.0,1.274256
1980-01-08,10154200,17.78,33324.2,12.16,136.89,-1.78,-10.1,283.65,-5.94,10154200.0,1.274256
1980-01-09,10154200,19.3,33389.82,16.25,144.81,0.24,-8.56,320.19,-4.16,10154200.0,1.3025728
1980-01-10,10154200,22.61,33458.61,21.3,175.77,-0.52,-11.76,248.51,-6.14,10154200.0,1.2459392
1980-01-11,10154200,25.91,33530.53,11.67,215.01,-3.47,-19.82,126.8,-11.645,10154200.0,1.132672
1980-01-12,10154200,28.449999999999996,33605.53,28.95,161.14,0.57,-8.76,315.15,-4.095,10154200.0,1.3875232
1980-01-13,10154200,33.269999999999996,33683.56,20.3,113.1,3.27,-2.8,497.07,0.2350000000000001,10154200.0,1.7556416
1980-01-14,10154200,39.37,33764.58,33.48,71.71,0.97,-2.63,503.34,-0.83,10154200.0,2.2087104
1980-01-15,10154200,42.16,33848.52,0.0,252.2,3.59,-8.64,318.29,-2.5250000000000004,10154200.0,2.12376
1980-01-16,10154200,42.16,33935.33,0.0,265.22,3.03,-10.24,280.54,-3.605,10154200.0,2.0104928
1980-01-17,10154200,42.16,34024.97,8.71,177.97,1.23,-8.93,311.17,-3.85,10154200.0,1.8689088
1980-01-18,10154200,43.18,34117.37,0.0,244.9,1.52,-9.44,298.73,-3.96,10154200.0,1.7273248
